id,sentence,acceptable,error_type,detailed_source
0,"Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем.",1,0,Paducheva2004
1,Этим летом не никуда ездили.,0,Syntax,Rusgram
2,Только Иван выразил какую бы то ни было готовность помочь.,1,0,Paducheva2013
3,"Теперь ты видишь собственными глазами, как тут хорошо.",1,0,Paducheva2010
4,На поверку вся теория оказалась полной чепухой.,1,0,Paducheva2010
5,Он всегда сидит в библиотеке.,1,0,Seliverstova
6,"Представляю, как смешно это выглядело снизу.",1,0,Paducheva2004
7,"Мне предоставилась возможность все видеть, сам оставаясь незамеченным.",0,Syntax,Testelets
8,Наш новый сотрудник оказался коренастым мужчиной лет сорока.,1,0,USE5
9,Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.,0,Syntax,USE8
10,"Не думаю, что мосты уже сняли.",1,0,Paducheva2013
11,"Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок.",1,0,Lutikova
12,"После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.",1,0,Paducheva2004
13,Наблюдается приток иностранного капитала.,1,0,Paducheva2013
14,Последние пять человек пришло.,0,Syntax,Testelets
15,Мы увидели славный город-герой.,1,0,Testelets
16,"У него только одни достоинства, а недостатков нет.",1,0,Seliverstova
17,План продуман не полностью.,1,0,Paducheva2013
18,Через четверть часа он уже сидел в ресторане.,1,0,Paducheva2010
19,"Как я заметил еще из окна, каждый из них что-то нес.",1,0,Paducheva2004
20,"Придет он или нет, зависит от ряда обстоятельств.",1,0,Testelets
21,Ценность сведений установилась на основе предпочтений.,0,Semantics,Rusgram
22,"Они приняли во внимание слухи, что Аня предаст Катю.",1,0,Mitrenina
23,На повороте дороги показалась коляска.,1,0,Paducheva2004
24,Он немедленно не ушел.,0,Semantics,Paducheva2013
25,Пиво он любит темное.,1,0,Testelets
26,Хорошо бы он не надел второпях мою шляпу.,1,0,Paducheva2013
27,"Занимаясь определённым делом, оно начинает хорошо получаться.",0,Syntax,USE8
28,"Мировая общественность очень удивилась, когда в январе 2012 года обыкновенно улыбчивые и доброжелательные мальдивцы выходят на демонстрации против президента.",0,Syntax,USE8
29,Он спокойно принял возражения оппонента.,1,0,Seliverstova
30,"Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру.",0,Semantics,Paducheva2010
31,Сильный прибой и каменистый берег сделали пляж непригодным для купания.,1,0,USE5
32,"Иван прилег, чтобы он отдохнул.",0,Syntax,Testelets
33,"Мы говорим врагу: сдавайся, или мы тебя уничтожим.",1,0,Testelets
34,"С 23 по 33 год он выпустил множество книг, брошюр и статей.",1,0,Paducheva2010
35,"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.",0,Syntax,Testelets
36,"Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме.",1,0,USE5
37,У этого животного есть острые зубы.,0,Semantics,Seliverstova
38,Он открыл шкаф и взял оттуда два больших полотенца.,1,0,Seliverstova
39,Звуков с улицы не доносилось.,1,0,Paducheva2004
40,"В одном только дедушка не последовал примеру большей части помещиков, живущих на покое: он завелся всем дворянским хозяйством, только не выбрал себе по сердцу хозяюшки.",1,0,Paducheva2013
41,"Кому ты хочешь, чтобы мы сообщили?",1,0,Testelets
42,"Мы общаемся, и у нас вроде происходит какой-то благотворный взаимообмен энергиями, я это чувствую.",1,0,USE5
43,Он живет в небольшом городке у Волги.,0,Semantics,Seliverstova
44,Сильно этот поезд не опоздал.,1,0,Paducheva2013
45,"Он, я думаю, согласится.",1,0,Paducheva2010
46,Здесь всегда холодно.,1,0,Rusgram
47,Иван выучился в колледже на слесаря и решил пойти на завод им.,0,Syntax,Testelets
48,"Истребитель накренился, кончик крыла снёс макушку высокого дереву.",0,Syntax,Testelets
49,"Через минуту нам опять открылась панорама громадного северного порта, масса зданий, и дымов, и труб, и судов на Двине.",1,0,Paducheva2013
50,"В ту минуту он жалел, что остался дома.",1,0,Paducheva2010
51,График проведения ремонтных работ в цехах завода был нарушен вопреки указания директора.,0,Syntax,USE8
52,"Думаю, что и я потерял в тебе самое дорогое, что имел в жизни.",1,0,Seliverstova
53,"Его осуждали на пять лет, но тут вышел указ.",1,0,Paducheva2010
54,"Финансовый строй Веймарской республики, сложившийся в результате ноябрьской революции 1918 года, также не способствовал эффективному функционированию СФВ, несмотря на создание хорошо разработанной законодательной базы.",1,0,Paducheva2013
55,Они грелись у костров.,1,0,Seliverstova
56,Ты должен помогать любому своему родственнику.,1,0,Seliverstova
57,"Мне захотелось узнать, как разводить и ухаживать за первоцветами в домашних условиях.",0,Syntax,USE8
58,Она принимает у него заказ уже десять минут.,1,0,Seliverstova
59,Обидный промах привёл теннисиста к поражению в матче.,1,0,USE5
60,"Это был клёст-сосновик, с перьями кирпичного и клюквенного цвета, с клювом, скрещенным, как два кривых костяных ножа.",1,0,USE5
61,Отсутствие жены президента на вечере журналисты объясняют болезнью.,1,0,Paducheva2004
62,"Раз мы затронули тему коррупции, есть ли, на ваш взгляд, свет в конце тоннеля?",1,0,Rusgram
63,У меня есть седые волосы.,1,0,Seliverstova
64,"Никогда не забуду выражения растерянности и вместе с тем готовности к сопротивлению, которое было написано у него на лице, когда он выскочил на поверхность воды.",1,0,Paducheva2013
65,"Проснешься не торопясь, посердишься на что-нибудь, поворчишь.",1,0,Seliverstova
66,Сегодня письмо получил Саша.,1,0,Testelets
67,От кого вы получили эти сведения?,1,0,Seliverstova
68,Он перецеловал всех девушек.,1,0,Testelets
69,Жена не понимает причин обвально обрушившейся на неё нежности.,1,0,Paducheva2013
70,"Доктор, убеждая меня начать приём лекарств, говорил, что я совершенно уверен в успешности лечения и что сомневаться не стоит.",0,Syntax,USE8
71,"Война была тяжёлым испытанием для всего народа, но все верили и надеялись на победу.",0,Syntax,USE8
72,"Брат ушел в театр, и я сижу дома.",1,0,Seliverstova
73,"Полшколы участвовали в организации благотворительной акции, приуроченной к Дню матери.",0,Syntax,USE8
74,"Я вижу, он не придет, и не видит в том потери.",1,0,Paducheva2004
75,В доме кто-то есть.,1,0,Seliverstova
76,"Если любой инженер может выполнить эту работу, то зачем приглашать какого-то знаменитого специалиста.",1,0,Seliverstova
77,"Те, кто мечтает стать инженером, исследователем, лётчиком, космонавтом, должен развивать свою зрительную память.",0,Syntax,USE8
78,Эту книгу я уже покупал.,1,0,Paducheva2010
79,"Он входит в темный коридор, задевает за что-то железное, сваленное у стены, нашаривает и открывает дверь.",1,0,Seliverstova
80,Я хочу посоветоваться с хорошим врачом.,1,0,Seliverstova
81,"Трон достался Глостеру, убийце своего брата.",1,0,Testelets
82,"Отряд партизанов был переодет в немецкое обмундирование, получил немецкое оружие.",0,Morphology,USE7
83,Он объясняет отсутствие на вечере своей жены.,1,0,Paducheva2004
84,"Опытные садоводы считают, что правильно выращенная живая изгородь намного долговечнее и надёжнее самых крепких заборов.",1,0,USE5
85,Дело приняло неприятный оборот.,1,0,Seliverstova
86,"Дети сотрудников, имеющих какие-либо заболевания, получают льготные путёвки в санаторий.",0,Syntax,USE8
87,"В своих статьях этот журналист поставил вопросы, волнующих многих его современников.",0,Syntax,USE8
88,Отсутствием на собрании он подтвердил плохое мнение о себе.,1,0,Paducheva2004
89,"У меня сосед есть, — сказал Троекуров, — мелкопоместный грубиян; я хочу взять у него имение — как ты про это думаешь?",1,0,Seliverstova
90,"Они касались подвала здания, который было принято решение превратить в эксплуатируемое помещение.",1,0,Lutikova
91,Не существует каких-либо доказательств.,1,0,Paducheva2013
92,Зимой сопротивляемость организма болезням ослабляется.,1,0,USE5
93,Внешне он ничем не отличался от многочисленных остальных гостей-мужчин.,1,0,Paducheva2004
94,Консервация старинной постройки должна предотвратить её дальнейшее разрушение.,1,0,USE5
95,Две молодые елки посажены по обоим ее концам.,1,0,Testelets
96,"Те, кто добивается в спорте наибольших успехов,становится примером для подражания.",0,Syntax,USE8
97,"И в подтверждение того, что это — Красавка, лошадь медленно по вернулась в нашу сторону.",0,Semantics,Seliverstova
98,Он принял таблетку аспирина.,1,0,Paducheva2010
99,Сегодня в овощном были не только яблоки.,1,0,Paducheva2013
100,"Я считаю недопустимым жить так, как они живут.",1,0,Seliverstova
101,А зачем Вы завязали ногу?,1,0,Paducheva2013
102,Он не отдал мне ключа.,1,0,Paducheva2013
103,У него дача уже три года.,1,0,Seliverstova
104,"Она стояла совсем рядом со мной, и я смог внимательно ее разглядеть.",1,0,Seliverstova
105,Спортсмен дрался как лев и тигр.,0,Syntax,Rusgram
106,"Шеварднадзе проезжал по улицам Тбилиси стремительно, его автомобиль с четырех сторон облепляли (сам видел) машины охраны.",1,0,Paducheva2013
107,Ты ехал в город?,0,Semantics,Paducheva2010
108,"Но вот внешность новых денег с точки зрения их защищенности от подделок, мягко говоря, озадачивает.",1,0,Paducheva2013
109,Мама идет с рынка.,1,0,Paducheva2004
110,Я видел вашу жену.,1,0,Paducheva2004
111,Ни Кати ни Лены не было дома.,1,0,Paducheva2013
112,Ты хоть кому-то помоги.,1,0,Seliverstova
113,Я не воспринимаю ненависти.,0,Semantics,Seliverstova
114,Мне его няня передала.,1,0,Paducheva2010
115,"Когда вы мне позвонили, я говорил с Иваном Сергеевичем.",1,0,Seliverstova
116,"Все разбежались, когда началась гроза.",1,0,Rusgram
117,Его легко было огорчить.,1,0,Paducheva2013
118,Советую вам обратиться к врачу.,1,0,Paducheva2010
119,Он и минуты не держал книги в руках.,1,0,Paducheva2013
120,"Я думаю, вы читали книгу Иванова на эту тему.",0,Semantics,Seliverstova
121,"Даже неточное, строго говоря, упоминание про песню рекрутов дает нам представление о том, какие разговоры велись в семье Блоков.",1,0,Seliverstova
